                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4053,                  1.534,                 1.3965,                0.70656,                0.62799,                0.67195,                  0.377,                 1.5067,                 1.4451,                 1.5095,             0.00066325,             0.00066325,             0.00066325
                      2,                  1.382,                 1.1828,                 1.3456,                0.71548,                0.63325,                0.68889,                0.39482,                  1.487,                 1.2852,                 1.4731,              0.0013205,              0.0013205,              0.0013205
                      3,                  1.384,                 1.1313,                 1.3538,                0.73977,                0.63141,                0.70543,                0.41494,                 1.4523,                 1.2905,                 1.4604,              0.0019683,              0.0019683,              0.0019683
                      4,                 1.3542,                 1.0705,                 1.3371,                0.75365,                0.68332,                0.74508,                0.42399,                 1.4334,                 1.1191,                 1.4284,              0.0019576,              0.0019576,              0.0019576
                      5,                  1.322,                 1.0182,                 1.3284,                0.78135,                0.68351,                0.77099,                0.48601,                 1.2964,                0.99688,                 1.3307,              0.0019434,              0.0019434,              0.0019434
                      6,                 1.3127,                0.99552,                 1.3174,                0.78598,                0.68114,                0.77413,                0.48241,                 1.3724,                 1.0225,                 1.3689,              0.0019293,              0.0019293,              0.0019293
                      7,                 1.2996,                0.97805,                 1.3124,                0.78269,                 0.6914,                0.78281,                0.47825,                 1.3462,                0.98543,                 1.3554,              0.0019151,              0.0019151,              0.0019151
                      8,                 1.2656,                0.93987,                 1.2885,                0.77555,                0.69818,                0.78413,                0.50804,                 1.2773,                0.91667,                 1.3004,               0.001901,               0.001901,               0.001901
                      9,                 1.2725,                0.94178,                 1.2915,                0.77582,                0.70192,                0.78056,                0.49598,                 1.2954,                0.94273,                 1.3117,              0.0018869,              0.0018869,              0.0018869
                     10,                 1.2473,                0.91893,                 1.2777,                0.78471,                0.71218,                0.79662,                0.50818,                 1.2897,                0.91941,                 1.3068,              0.0018727,              0.0018727,              0.0018727
                     11,                 1.2701,                0.92108,                 1.2835,                0.79272,                0.70008,                0.79164,                0.49906,                 1.2908,                  1.031,                 1.3076,              0.0018586,              0.0018586,              0.0018586
                     12,                 1.2454,                0.91206,                 1.2757,                0.79118,                0.72086,                  0.802,                0.50751,                 1.2747,                0.87194,                 1.2976,              0.0018444,              0.0018444,              0.0018444
                     13,                 1.2331,                 0.8786,                 1.2651,                0.77933,                0.71174,                0.79737,                0.51128,                 1.2597,                0.89456,                 1.2946,              0.0018303,              0.0018303,              0.0018303
                     14,                  1.218,                0.87545,                 1.2631,                0.78155,                0.69745,                0.76641,                0.48903,                 1.3029,                0.91546,                  1.317,              0.0018161,              0.0018161,              0.0018161
                     15,                 1.2257,                0.87902,                 1.2709,                0.77714,                0.71692,                0.79429,                0.51508,                 1.2598,                0.87792,                 1.2886,               0.001802,               0.001802,               0.001802
                     16,                  1.213,                0.86167,                 1.2647,                0.78734,                0.71376,                0.79459,                0.50935,                 1.2734,                0.87634,                 1.2908,              0.0017879,              0.0017879,              0.0017879
                     17,                 1.2206,                0.87718,                  1.253,                 0.8179,                0.68889,                0.79825,                0.51623,                 1.2528,                0.87399,                 1.2861,              0.0017737,              0.0017737,              0.0017737
                     18,                 1.1992,                0.84394,                  1.245,                0.77717,                0.73223,                0.80108,                0.52234,                   1.27,                 0.8715,                 1.2833,              0.0017596,              0.0017596,              0.0017596
                     19,                 1.1941,                0.84193,                 1.2535,                0.77429,                0.72691,                0.80076,                0.52208,                  1.247,                0.88236,                 1.2811,              0.0017454,              0.0017454,              0.0017454
                     20,                  1.202,                0.83761,                 1.2442,                0.78702,                0.73399,                 0.8115,                0.52618,                  1.256,                0.85057,                 1.2824,              0.0017313,              0.0017313,              0.0017313
                     21,                 1.1957,                0.82263,                 1.2376,                0.79141,                0.72639,                0.80814,                0.53107,                  1.229,                0.83848,                  1.273,              0.0017171,              0.0017171,              0.0017171
                     22,                 1.1979,                0.83405,                 1.2421,                0.78947,                0.74191,                0.81945,                0.53033,                  1.239,                 0.8253,                 1.2677,               0.001703,               0.001703,               0.001703
                     23,                  1.178,                0.82195,                 1.2398,                0.79184,                0.72259,                0.81374,                0.52724,                 1.2377,                 0.8521,                 1.2684,              0.0016889,              0.0016889,              0.0016889
                     24,                 1.1994,                0.83259,                  1.238,                0.80375,                0.72165,                0.81947,                0.53092,                 1.2318,                 0.8456,                 1.2556,              0.0016747,              0.0016747,              0.0016747
                     25,                 1.1782,                0.80719,                 1.2324,                 0.7926,                0.72612,                0.81119,                0.52892,                 1.2497,                0.84688,                  1.268,              0.0016606,              0.0016606,              0.0016606
                     26,                 1.1741,                0.80723,                 1.2312,                0.80413,                0.70855,                0.81143,                0.53271,                 1.2204,                0.82919,                 1.2499,              0.0016464,              0.0016464,              0.0016464
                     27,                 1.1777,                0.80897,                 1.2219,                0.79704,                0.73047,                0.81806,                0.53509,                 1.2448,                0.82741,                  1.265,              0.0016323,              0.0016323,              0.0016323
                     28,                 1.1651,                0.79671,                 1.2231,                0.79601,                0.70718,                 0.8091,                0.52382,                 1.2516,                0.86006,                 1.2799,              0.0016181,              0.0016181,              0.0016181
                     29,                 1.1793,                0.80129,                 1.2282,                0.80198,                0.72481,                 0.8167,                 0.5296,                 1.2442,                0.81257,                 1.2711,               0.001604,               0.001604,               0.001604
                     30,                  1.155,                0.79103,                 1.2195,                0.78246,                0.73717,                0.81415,                0.53259,                 1.2311,                0.86605,                 1.2573,              0.0015899,              0.0015899,              0.0015899
                     31,                 1.1574,                0.78206,                 1.2208,                0.79208,                 0.7377,                0.82103,                0.53657,                 1.2236,                 0.8005,                 1.2494,              0.0015757,              0.0015757,              0.0015757
                     32,                 1.1552,                0.77729,                 1.2248,                0.78245,                0.72957,                0.81944,                0.54181,                 1.2229,                0.79988,                 1.2541,              0.0015616,              0.0015616,              0.0015616
                     33,                 1.1421,                0.77735,                 1.2052,                0.80535,                0.72455,                0.81779,                0.53746,                  1.227,                0.82653,                 1.2586,              0.0015474,              0.0015474,              0.0015474
                     34,                 1.1527,                0.77623,                 1.2141,                0.79921,                0.72779,                0.81709,                0.53766,                 1.2374,                0.82424,                 1.2576,              0.0015333,              0.0015333,              0.0015333
                     35,                 1.1538,                0.77398,                 1.2168,                0.78537,                0.75243,                0.82629,                0.54778,                 1.2201,                0.80466,                 1.2502,              0.0015191,              0.0015191,              0.0015191
                     36,                 1.1553,                 0.7701,                 1.2212,                0.80178,                0.72402,                0.82652,                0.55061,                 1.2047,                0.78929,                 1.2513,               0.001505,               0.001505,               0.001505
                     37,                  1.136,                0.75312,                 1.2077,                0.79156,                0.74665,                0.82231,                0.54446,                 1.2203,                0.80899,                 1.2492,              0.0014909,              0.0014909,              0.0014909
                     38,                 1.1444,                0.76343,                 1.2102,                0.81554,                0.72139,                0.82648,                0.54791,                 1.2217,                0.79364,                 1.2552,              0.0014767,              0.0014767,              0.0014767
                     39,                 1.1399,                0.75615,                  1.212,                0.80843,                0.71165,                0.81799,                0.54377,                 1.2176,                0.79499,                 1.2507,              0.0014626,              0.0014626,              0.0014626
                     40,                 1.1338,                0.75883,                 1.2073,                0.79125,                0.72612,                0.81612,                0.54037,                 1.2278,                 0.8056,                  1.266,              0.0014484,              0.0014484,              0.0014484
                     41,                 1.1345,                0.74624,                 1.2022,                0.79816,                0.73875,                0.82752,                0.54513,                 1.2119,                 0.8069,                  1.251,              0.0014343,              0.0014343,              0.0014343
                     42,                 1.1156,                0.74712,                 1.2035,                0.80875,                0.74086,                0.82844,                0.54899,                 1.2105,                0.78315,                 1.2463,              0.0014201,              0.0014201,              0.0014201
                     43,                 1.1325,                0.74323,                 1.1867,                0.81227,                0.73402,                0.83338,                0.54895,                 1.2233,                0.82506,                 1.2496,               0.001406,               0.001406,               0.001406
                     44,                 1.1405,                0.74137,                 1.1995,                0.79503,                0.73349,                0.82622,                0.54733,                 1.2151,                0.79224,                   1.24,              0.0013919,              0.0013919,              0.0013919
                     45,                 1.1351,                0.74779,                 1.1949,                0.79971,                0.74058,                0.82723,                0.54975,                 1.2071,                0.78872,                 1.2409,              0.0013777,              0.0013777,              0.0013777
                     46,                  1.112,                0.74337,                 1.1962,                  0.795,                0.74059,                0.82396,                0.54791,                 1.2114,                0.80327,                 1.2468,              0.0013636,              0.0013636,              0.0013636
                     47,                 1.1036,                0.71572,                 1.1886,                0.80437,                0.73033,                0.82423,                0.54784,                  1.218,                0.78556,                 1.2549,              0.0013494,              0.0013494,              0.0013494
                     48,                 1.1234,                0.73245,                 1.1893,                0.79476,                0.74369,                0.82644,                0.55163,                 1.1972,                0.77949,                  1.231,              0.0013353,              0.0013353,              0.0013353
                     49,                 1.0987,                0.72555,                 1.1877,                0.79246,                0.74007,                0.82721,                0.54907,                 1.2146,                0.78107,                  1.236,              0.0013211,              0.0013211,              0.0013211
                     50,                 1.1113,                0.72215,                 1.1873,                0.81694,                0.72665,                0.82711,                0.54899,                 1.2288,                 0.7741,                 1.2611,               0.001307,               0.001307,               0.001307
                     51,                 1.1001,                0.72097,                 1.1769,                0.79202,                0.74112,                0.82215,                0.54662,                 1.2182,                0.78814,                 1.2549,              0.0012929,              0.0012929,              0.0012929
                     52,                 1.0828,                0.71217,                 1.1829,                0.78116,                0.74189,                0.82054,                0.54099,                 1.2203,                0.79978,                 1.2579,              0.0012787,              0.0012787,              0.0012787
                     53,                 1.1062,                0.71679,                 1.1843,                0.77343,                0.75612,                0.83039,                0.54907,                 1.2267,                0.81369,                 1.2518,              0.0012646,              0.0012646,              0.0012646
                     54,                 1.0817,                0.70549,                 1.1759,                0.81163,                0.72718,                0.82563,                0.55251,                 1.2072,                0.78292,                 1.2435,              0.0012504,              0.0012504,              0.0012504
                     55,                 1.1099,                0.71426,                 1.1868,                 0.8007,                0.73165,                0.82264,                 0.5455,                 1.2243,                0.79274,                 1.2554,              0.0012363,              0.0012363,              0.0012363
                     56,                 1.0909,                0.70432,                 1.1726,                0.78208,                0.76007,                0.83078,                0.55748,                 1.2088,                0.76312,                 1.2457,              0.0012221,              0.0012221,              0.0012221
                     57,                 1.0992,                0.70651,                 1.1848,                0.81613,                0.73533,                0.83001,                0.55723,                 1.1947,                0.77566,                 1.2365,               0.001208,               0.001208,               0.001208
                     58,                 1.0918,                0.70205,                 1.1713,                0.79363,                0.73249,                0.82139,                0.54941,                 1.2085,                0.78281,                 1.2408,              0.0011939,              0.0011939,              0.0011939
                     59,                 1.0905,                0.69277,                 1.1821,                0.79661,                0.73849,                0.82714,                0.55378,                 1.2127,                0.78862,                 1.2458,              0.0011797,              0.0011797,              0.0011797
                     60,                 1.0714,                0.69783,                 1.1667,                0.80284,                0.73902,                0.83178,                0.55631,                 1.2116,                0.76888,                 1.2352,              0.0011656,              0.0011656,              0.0011656
                     61,                 1.0795,                0.69046,                 1.1711,                0.80276,                0.72823,                0.82056,                0.54821,                  1.212,                0.78627,                 1.2422,              0.0011514,              0.0011514,              0.0011514
                     62,                 1.0694,                0.69033,                 1.1695,                0.80445,                0.74244,                0.82872,                0.55398,                 1.2058,                0.76069,                 1.2363,              0.0011373,              0.0011373,              0.0011373
                     63,                 1.0895,                0.69409,                 1.1664,                 0.7993,                0.74428,                0.82557,                0.54835,                 1.2229,                0.78646,                  1.247,              0.0011231,              0.0011231,              0.0011231
                     64,                 1.0767,                0.69115,                 1.1661,                0.79561,                0.74217,                0.82791,                0.55573,                 1.1991,                0.77011,                 1.2367,               0.001109,               0.001109,               0.001109
                     65,                 1.0565,                0.67641,                 1.1657,                0.81248,                0.73297,                0.82574,                 0.5548,                  1.209,                0.77133,                 1.2394,              0.0010949,              0.0010949,              0.0010949
                     66,                 1.0622,                 0.6839,                 1.1644,                0.79336,                0.75164,                0.83347,                0.55983,                 1.1992,                0.74767,                 1.2346,              0.0010807,              0.0010807,              0.0010807
                     67,                  1.061,                0.67477,                 1.1597,                0.81354,                0.73849,                0.83149,                0.55554,                 1.2133,                0.77387,                   1.24,              0.0010666,              0.0010666,              0.0010666
                     68,                  1.072,                0.68436,                 1.1602,                0.80563,                0.73402,                0.82811,                0.55531,                 1.1987,                0.78979,                 1.2292,              0.0010524,              0.0010524,              0.0010524
                     69,                 1.0575,                0.66498,                 1.1518,                0.79192,                0.74717,                0.82932,                0.55406,                 1.2021,                0.79052,                 1.2361,              0.0010383,              0.0010383,              0.0010383
                     70,                 1.0661,                0.67441,                 1.1552,                0.79882,                0.73856,                0.82788,                0.55551,                 1.2025,                0.77024,                  1.232,              0.0010241,              0.0010241,              0.0010241
                     71,                 1.0494,                0.66271,                 1.1531,                0.79523,                0.74296,                 0.8288,                0.55866,                 1.2014,                0.76176,                 1.2378,                0.00101,                0.00101,                0.00101
                     72,                 1.0653,                 0.6702,                 1.1549,                0.81904,                0.73351,                0.82279,                0.55186,                 1.2047,                0.78744,                 1.2452,             0.00099586,             0.00099586,             0.00099586
                     73,                 1.0628,                0.67146,                 1.1563,                0.80524,                 0.7375,                0.82689,                0.55687,                 1.2069,                0.76837,                 1.2433,             0.00098171,             0.00098171,             0.00098171
                     74,                 1.0538,                0.66501,                 1.1522,                0.79999,                0.74922,                  0.827,                0.55396,                 1.2038,                0.77494,                 1.2376,             0.00096757,             0.00096757,             0.00096757
                     75,                 1.0579,                0.66545,                 1.1514,                0.81987,                 0.7377,                0.83198,                0.55871,                 1.2011,                 0.7629,                 1.2389,             0.00095343,             0.00095343,             0.00095343
                     76,                 1.0267,                0.65456,                 1.1489,                0.79128,                0.75901,                0.82859,                0.55771,                 1.2003,                0.75722,                 1.2333,             0.00093929,             0.00093929,             0.00093929
                     77,                 1.0496,                0.65645,                  1.147,                0.81892,                0.72937,                0.82402,                0.55526,                 1.1983,                0.77778,                 1.2362,             0.00092514,             0.00092514,             0.00092514
                     78,                 1.0439,                 0.6547,                  1.146,                 0.7912,                0.75866,                0.83083,                0.55862,                 1.1976,                0.76828,                 1.2361,               0.000911,               0.000911,               0.000911
                     79,                 1.0282,                0.63934,                 1.1443,                 0.7866,                0.75138,                0.82522,                0.55519,                 1.2069,                 0.7636,                 1.2397,             0.00089686,             0.00089686,             0.00089686
                     80,                 1.0411,                0.65002,                 1.1442,                 0.8034,                 0.7477,                0.83046,                0.55665,                 1.1945,                0.76063,                 1.2287,             0.00088271,             0.00088271,             0.00088271
                     81,                 1.0381,                0.64887,                 1.1532,                0.78723,                0.74952,                0.82625,                 0.5569,                 1.1923,                 0.7493,                 1.2313,             0.00086857,             0.00086857,             0.00086857
                     82,                 1.0375,                 0.6462,                 1.1431,                0.81467,                0.73981,                0.82863,                0.55738,                 1.2017,                0.77094,                 1.2398,             0.00085443,             0.00085443,             0.00085443
                     83,                 1.0281,                 0.6448,                 1.1423,                0.79737,                 0.7516,                0.83004,                0.55667,                  1.205,                0.76054,                   1.24,             0.00084029,             0.00084029,             0.00084029
                     84,                 1.0457,                0.65315,                 1.1466,                 0.7956,                0.75138,                0.82451,                0.55327,                 1.2061,                0.77096,                 1.2343,             0.00082614,             0.00082614,             0.00082614
                     85,                 1.0352,                0.63934,                 1.1368,                0.77866,                 0.7617,                0.82544,                0.55232,                 1.2078,                0.77047,                 1.2333,               0.000812,               0.000812,               0.000812
                     86,                 1.0176,                0.63595,                 1.1328,                0.80752,                0.74638,                0.83049,                0.55764,                 1.1995,                0.76021,                 1.2281,             0.00079786,             0.00079786,             0.00079786
                     87,                 1.0231,                0.63589,                  1.134,                0.80668,                0.73323,                0.82562,                0.55037,                 1.2096,                0.76993,                 1.2398,             0.00078371,             0.00078371,             0.00078371
                     88,                 1.0227,                0.64008,                 1.1432,                0.79475,                0.75486,                0.83045,                0.55638,                 1.2005,                0.76257,                   1.24,             0.00076957,             0.00076957,             0.00076957
                     89,                  1.026,                0.63326,                 1.1348,                0.81058,                0.74086,                0.82609,                0.55683,                 1.1971,                0.77037,                 1.2364,             0.00075543,             0.00075543,             0.00075543
                     90,                 1.0313,                0.64204,                  1.133,                0.81641,                0.73139,                0.82815,                0.55429,                 1.2045,                0.77391,                 1.2487,             0.00074129,             0.00074129,             0.00074129
                     91,                 1.0242,                0.64083,                 1.1309,                0.81923,                0.73297,                0.82984,                0.55653,                 1.2058,                0.75873,                 1.2505,             0.00072714,             0.00072714,             0.00072714
                     92,                 1.0031,                0.62422,                 1.1299,                0.81241,                0.74217,                0.82547,                0.55636,                 1.2052,                0.76306,                 1.2431,               0.000713,               0.000713,               0.000713
                     93,                 1.0115,                0.62713,                 1.1334,                0.81206,                0.73665,                0.82761,                0.55887,                 1.1967,                0.75678,                 1.2437,             0.00069886,             0.00069886,             0.00069886
                     94,                 1.0056,                0.63177,                 1.1356,                0.81841,                0.73086,                0.82324,                 0.5526,                 1.2097,                 0.7686,                 1.2496,             0.00068471,             0.00068471,             0.00068471
                     95,                  1.013,                0.62403,                 1.1267,                0.80117,                0.73691,                0.82511,                0.55818,                 1.2032,                0.75619,                  1.239,             0.00067057,             0.00067057,             0.00067057
                     96,                0.99898,                0.61782,                 1.1235,                0.80208,                0.74401,                0.82694,                0.55814,                 1.2035,                0.75059,                 1.2515,             0.00065643,             0.00065643,             0.00065643
                     97,                 1.0037,                0.61294,                  1.125,                0.79517,                0.75273,                0.82841,                0.55589,                 1.2101,                 0.7484,                   1.26,             0.00064229,             0.00064229,             0.00064229
                     98,                 1.0066,                0.61539,                 1.1222,                0.81154,                0.73184,                0.82512,                0.55727,                 1.2027,                0.76063,                 1.2495,             0.00062814,             0.00062814,             0.00062814
                     99,                 1.0016,                0.61945,                 1.1243,                0.80964,                0.73297,                0.82725,                0.55596,                 1.2064,                0.75371,                 1.2468,               0.000614,               0.000614,               0.000614
                    100,                0.99617,                0.61077,                 1.1202,                0.80496,                0.73507,                0.82547,                0.55334,                 1.2123,                0.76029,                 1.2462,             0.00059986,             0.00059986,             0.00059986
                    101,                  1.003,                0.61711,                 1.1209,                0.78866,                0.74812,                0.82473,                0.55562,                 1.2065,                0.76041,                 1.2446,             0.00058571,             0.00058571,             0.00058571
                    102,                0.98461,                0.60441,                 1.1177,                0.80327,                0.74401,                0.83031,                  0.557,                 1.2106,                0.75437,                 1.2472,             0.00057157,             0.00057157,             0.00057157
                    103,                0.99013,                0.60867,                 1.1173,                0.79039,                0.74802,                0.82487,                0.55727,                 1.2042,                0.74911,                 1.2408,             0.00055743,             0.00055743,             0.00055743
                    104,                0.97374,                0.59818,                 1.1072,                0.79879,                0.73843,                0.82062,                0.55296,                 1.2097,                0.76423,                 1.2411,             0.00054329,             0.00054329,             0.00054329
                    105,                0.98537,                0.59857,                 1.1177,                0.79725,                0.75415,                0.82781,                0.55982,                 1.2058,                  0.746,                 1.2457,             0.00052914,             0.00052914,             0.00052914
                    106,                0.97647,                0.59762,                 1.1171,                0.81573,                0.73717,                0.82669,                0.55952,                 1.2014,                0.75538,                 1.2457,               0.000515,               0.000515,               0.000515
                    107,                0.97882,                0.59665,                 1.1103,                0.82164,                0.72376,                0.82357,                0.55479,                 1.2026,                0.75937,                 1.2462,             0.00050086,             0.00050086,             0.00050086
                    108,                0.97056,                0.59246,                 1.1093,                0.81259,                0.74165,                0.82507,                0.55717,                 1.1975,                0.75098,                  1.244,             0.00048671,             0.00048671,             0.00048671
                    109,                0.98994,                0.60249,                 1.1155,                0.80612,                0.74217,                0.82378,                0.55655,                 1.1989,                0.75442,                 1.2365,             0.00047257,             0.00047257,             0.00047257
                    110,                0.98309,                0.59605,                  1.109,                0.79491,                0.75358,                0.82422,                 0.5565,                 1.2061,                0.75468,                 1.2418,             0.00045843,             0.00045843,             0.00045843
                    111,                0.99018,                0.60001,                 1.1043,                0.79915,                0.74323,                0.82509,                0.55648,                 1.2067,                0.75647,                 1.2459,             0.00044429,             0.00044429,             0.00044429
                    112,                0.96932,                0.59531,                 1.1135,                0.79512,                0.74059,                0.82213,                0.55504,                 1.2017,                0.75706,                 1.2409,             0.00043014,             0.00043014,             0.00043014
                    113,                0.97111,                0.58707,                  1.106,                0.80584,                0.74033,                0.82565,                0.55947,                 1.2038,                0.75923,                 1.2442,               0.000416,               0.000416,               0.000416
                    114,                0.96112,                0.58698,                 1.1066,                0.79925,                0.73947,                0.82473,                0.55845,                 1.2024,                0.75438,                 1.2445,             0.00040186,             0.00040186,             0.00040186
                    115,                0.97374,                0.59402,                 1.1099,                0.79893,                0.74375,                0.82447,                0.55736,                 1.2084,                 0.7543,                  1.254,             0.00038771,             0.00038771,             0.00038771
                    116,                0.96796,                0.57971,                 1.1037,                0.80824,                0.73964,                0.82402,                 0.5554,                 1.2094,                0.76354,                  1.255,             0.00037357,             0.00037357,             0.00037357
                    117,                0.96718,                0.58524,                 1.1027,                0.80326,                0.73823,                0.82367,                0.55876,                 1.1966,                0.75905,                 1.2385,             0.00035943,             0.00035943,             0.00035943
                    118,                0.94786,                0.58342,                 1.0954,                 0.8083,                 0.7327,                0.82429,                0.55684,                 1.2034,                0.74706,                 1.2467,             0.00034529,             0.00034529,             0.00034529
                    119,                 0.9641,                0.58406,                 1.1043,                0.80138,                0.73774,                0.82296,                0.55629,                 1.2005,                0.75185,                 1.2393,             0.00033114,             0.00033114,             0.00033114
                    120,                0.95286,                0.57379,                 1.1023,                0.80373,                0.73375,                0.82051,                0.55676,                 1.1978,                0.75974,                 1.2405,               0.000317,               0.000317,               0.000317
                    121,                0.94721,                 0.5744,                 1.1002,                0.83278,                0.70718,                0.81742,                0.55459,                 1.1957,                0.76362,                 1.2431,             0.00030286,             0.00030286,             0.00030286
                    122,                0.96176,                 0.5769,                 1.1036,                0.80779,                0.72865,                0.82107,                0.55379,                  1.197,                0.76087,                 1.2412,             0.00028871,             0.00028871,             0.00028871
                    123,                0.96296,                0.58178,                 1.0983,                0.81342,                0.72374,                0.82158,                0.55647,                 1.1965,                0.75978,                  1.238,             0.00027457,             0.00027457,             0.00027457
                    124,                0.95479,                0.57418,                 1.1011,                0.79601,                0.74323,                 0.8221,                0.55633,                 1.2024,                0.76447,                 1.2403,             0.00026043,             0.00026043,             0.00026043
                    125,                0.94769,                0.57602,                 1.0933,                0.79653,                0.73433,                0.82253,                0.55718,                 1.2005,                0.76055,                 1.2372,             0.00024629,             0.00024629,             0.00024629
                    126,                0.96467,                0.58205,                 1.0987,                0.80731,                0.72902,                0.81902,                0.55472,                 1.2011,                 0.7663,                 1.2391,             0.00023214,             0.00023214,             0.00023214
                    127,                0.94495,                0.57078,                 1.0936,                0.80908,                0.72297,                0.81966,                0.55382,                 1.2044,                0.76551,                 1.2427,               0.000218,               0.000218,               0.000218
                    128,                0.93092,                0.56445,                   1.09,                0.80758,                0.72765,                0.82031,                0.55516,                 1.2047,                0.76019,                 1.2449,             0.00020386,             0.00020386,             0.00020386
                    129,                0.95655,                0.57358,                 1.0929,                0.80079,                0.73502,                0.81984,                0.55546,                 1.2026,                0.75952,                 1.2448,             0.00018971,             0.00018971,             0.00018971
                    130,                0.94175,                0.56379,                 1.0919,                0.80637,                0.72748,                0.81828,                0.55375,                 1.2043,                0.76648,                 1.2469,             0.00017557,             0.00017557,             0.00017557
                    131,                0.94141,                0.55121,                 1.0798,                0.80831,                0.72639,                0.81727,                0.55225,                 1.2035,                0.75895,                  1.249,             0.00016143,             0.00016143,             0.00016143
                    132,                0.93069,                0.53214,                 1.0756,                0.78407,                0.75401,                0.82098,                 0.5534,                 1.1974,                0.75886,                 1.2431,             0.00014729,             0.00014729,             0.00014729
                    133,                0.93555,                0.53564,                 1.0779,                0.80693,                0.72639,                0.81778,                0.55322,                 1.1979,                0.76024,                 1.2433,             0.00013314,             0.00013314,             0.00013314
                    134,                0.93014,                0.53034,                 1.0745,                0.80191,                0.73165,                0.81846,                0.55363,                 1.2006,                0.75888,                 1.2466,               0.000119,               0.000119,               0.000119
                    135,                0.91972,                0.52583,                 1.0706,                0.79887,                0.73586,                0.81896,                 0.5542,                 1.1994,                0.75488,                 1.2461,             0.00010486,             0.00010486,             0.00010486
                    136,                0.89983,                0.52415,                 1.0651,                0.80731,                0.72639,                0.81884,                0.55382,                 1.1972,                0.75502,                 1.2454,             9.0714e-05,             9.0714e-05,             9.0714e-05
