                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4053,                  1.534,                 1.3965,                0.70656,                0.62799,                0.67195,                  0.377,                 1.5067,                 1.4451,                 1.5095,             0.00066325,             0.00066325,             0.00066325
                      2,                 1.3827,                 1.1812,                 1.3467,                0.67877,                0.57274,                0.63326,                0.36958,                  1.518,                 1.4529,                  1.573,              0.0013211,              0.0013211,              0.0013211
                      3,                 1.3877,                 1.1224,                 1.3541,                0.69226,                0.56874,                0.63894,                0.35288,                 1.5965,                 1.5035,                 1.6047,              0.0019702,              0.0019702,              0.0019702
                      4,                 1.3564,                   1.08,                 1.3464,                0.74581,                0.70376,                0.76233,                0.43845,                 1.4161,                 1.0187,                 1.4041,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.3213,                 1.0208,                 1.3307,                0.77783,                0.65983,                0.74526,                0.46528,                 1.3517,                 1.0498,                 1.3676,              0.0019472,              0.0019472,              0.0019472
                      6,                 1.3151,                 1.0007,                 1.3182,                0.78444,                0.68261,                0.77578,                0.47874,                 1.3774,                 1.0353,                 1.3822,               0.001934,               0.001934,               0.001934
                      7,                 1.2989,                0.97499,                 1.3065,                0.77281,                0.69271,                0.78111,                0.47529,                 1.3356,                 1.0545,                 1.3365,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.2701,                 0.9375,                  1.294,                0.77966,                0.68429,                0.77174,                0.49125,                 1.3041,                0.97618,                 1.3315,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.2703,                0.94535,                 1.2935,                0.76202,                0.69078,                0.77926,                0.48935,                 1.3186,                0.94011,                 1.3296,              0.0018944,              0.0018944,              0.0018944
                     10,                 1.2475,                0.91835,                  1.281,                0.78858,                0.71613,                0.80258,                0.52065,                 1.2758,                0.89761,                 1.3037,              0.0018812,              0.0018812,              0.0018812
                     11,                 1.2703,                0.91757,                 1.2821,                  0.754,                0.70236,                0.78803,                0.49585,                 1.3109,                0.97581,                 1.3315,               0.001868,               0.001868,               0.001868
                     12,                 1.2468,                0.91419,                 1.2794,                0.78314,                0.71613,                0.78988,                0.50364,                 1.2778,                0.91546,                 1.3116,              0.0018548,              0.0018548,              0.0018548
                     13,                 1.2337,                0.87571,                 1.2709,                0.77428,                0.73098,                0.81544,                0.52918,                 1.2438,                0.86038,                 1.2808,              0.0018416,              0.0018416,              0.0018416
                     14,                 1.2169,                0.87502,                 1.2609,                0.78712,                0.70429,                0.78582,                0.50629,                 1.2662,                0.88662,                  1.301,              0.0018284,              0.0018284,              0.0018284
                     15,                 1.2236,                0.87428,                 1.2691,                0.78974,                0.69982,                0.78582,                0.50954,                 1.2652,                0.90442,                  1.297,              0.0018152,              0.0018152,              0.0018152
                     16,                 1.2127,                0.85721,                 1.2633,                0.80069,                 0.7092,                0.79953,                0.51727,                 1.2635,                  0.905,                 1.2781,               0.001802,               0.001802,               0.001802
